Current,Voltage
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1601
0.0,4.1601
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1604
0.0,4.1601
0.0,4.1601
0.0,4.1604
0.0,4.1604
0.0,4.1601
0.0,4.1604
0.0,4.1604
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1604
0.0,4.1601
0.0,4.1601
0.0,4.1604
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1604
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1604
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
0.0,4.1601
